RowID,MobID,MobName,Level,Exp,AI,Money1,Money2,QuestItemID,HP,SP,MP,Dex,Wis,Luc,Day,Size,Attrib,Defense,Magic,ResistState1,ResistState2,ResistState3,ResistState4,ResistState5,ResistState6,ResistState7,ResistState8,ResistState9,ResistState10,ResistState11,ResistState12,ResistState13,ResistState14,ResistState15,ResistSkill1,ResistSkill2,ResistSkill3,ResistSkill4,ResistSkill5,ResistSkill6,NormalTime,NormalStep,ChaseTime,ChaseStep,ChaseRange,AttackType1,AttackTime1,Attackrange1,Attack1,Attackplus1,Attackattrib1,Attackspecial1,Attackok1,Attacktype2,Attacktime2,Attackrange2,Attack2,Attackplus2,Attackattrib2,Attackspecial2,Attackok2,Attacktype3,Attacktime3,Attackrange3,Attack3,Attackplus3,Attackattrib3,Attackspecial3,Attackok3
1,0,Error Monster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Small Ruined Wolf,38,704,1,1820,3822,0,2765,874,1578,60,40,53,3,1,4,38,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,167,83,0,0,1,37,2500,2,142,85,0,0,1,0,0,0,277,0,0,3,0
3,2,Rotting Poison Larva,38,704,1,1820,3822,0,2765,874,1578,60,40,53,3,2,0,38,31,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,167,83,0,0,1,19,2500,2,142,85,0,0,1,0,0,0,277,0,0,3,0
4,3,High Pixie Destruction mag...,39,737,1,1910,4011,0,2870,897,1638,61,40,54,2,1,4,40,33,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,167,83,0,0,1,39,2500,2,146,87,0,0,1,0,0,0,287,0,0,3,0
5,4,Rough GroundBison,40,770,0,2000,4200,0,2977,920,1698,62,42,56,3,2,3,40,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,173,86,0,0,1,118,2500,2,148,88,0,0,1,0,0,0,298,0,0,3,0
6,5,Pointed Horn ThornBison,40,770,0,2000,4200,0,2977,920,1698,62,42,56,3,2,3,40,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,173,86,0,0,1,118,2500,2,148,88,0,0,1,0,0,0,298,0,0,3,0
7,6,Corpsefield Steellarva,41,803,1,2090,4389,0,3086,943,1760,64,43,57,3,2,0,41,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,173,86,0,0,1,19,2500,2,148,88,0,0,1,0,0,0,309,0,0,3,0
8,7,Selune Rottenbonepriest,41,803,1,2090,4389,0,3086,943,1760,64,43,57,2,1,0,41,34,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,1,173,86,0,0,1,78,2500,1,148,88,0,0,1,0,0,0,309,0,0,3,0
9,8,Angryeye Man-eatingwolf,42,836,1,2180,4578,0,3196,966,1822,66,43,57,4,2,4,41,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,180,90,0,0,1,21,2500,2,153,91,0,0,1,0,0,0,320,0,0,3,0
10,9,Angryhorn Oxhide Bison,42,836,0,2180,4578,0,3196,966,1822,66,43,57,3,2,3,41,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,180,90,0,0,1,118,2500,2,153,91,0,0,1,0,0,0,320,0,0,3,0
